utt,ch1,ch2,ch3,ch4,ch5,ch6
M06_440C0201_BTH,0.993,0.920,0.979,0.998,0.998,0.991
M06_440C0205_BTH,0.995,0.945,0.983,0.999,0.999,0.994
M06_440C020N_BTH,0.982,0.985,0.990,0.991,0.991,0.989
M06_440C020U_BTH,0.985,0.882,0.985,0.988,0.989,0.989
M06_440C020V_BTH,0.995,0.964,0.995,0.992,0.992,0.989
M06_440C020W_BTH,0.995,0.995,0.994,0.998,0.468,0.998
M06_440C020X_BTH,0.994,0.980,0.994,0.997,0.997,0.993
M06_440C0213_BTH,0.994,0.853,0.969,0.999,0.999,0.994
M06_440C0214_BTH,0.996,0.925,0.996,0.998,0.998,0.989
M06_441C0209_BTH,0.993,0.982,0.996,0.997,0.998,0.998
M06_441C020A_BTH,0.995,0.970,0.995,0.996,0.996,0.995
M06_441C020F_BTH,0.985,0.986,0.986,0.997,0.997,0.996
M06_441C020N_BTH,0.990,0.909,0.984,0.997,0.997,0.989
M06_441C020O_BTH,0.987,0.961,0.987,0.997,0.997,0.991
M06_441C020S_BTH,0.994,0.987,0.994,0.994,0.995,0.995
M06_441C020V_BTH,0.992,0.983,0.992,0.996,0.996,0.995
M06_441C0212_BTH,0.991,0.894,0.981,0.997,0.997,0.990
M06_442C0203_BTH,0.995,0.971,0.995,0.993,0.998,0.998
M06_442C0207_BTH,0.982,0.890,0.984,0.989,0.989,0.989
M06_442C020C_BTH,0.993,0.969,0.993,0.995,0.995,0.995
M06_442C020F_BTH,0.983,0.948,0.983,0.994,0.995,0.995
M06_442C020G_BTH,0.993,0.979,0.995,0.993,0.998,0.998
M06_442C020J_BTH,0.995,0.960,0.995,0.995,0.996,0.996
M06_442C020K_BTH,0.995,0.970,0.995,0.997,0.998,0.998
M06_442C020L_BTH,0.994,0.976,0.994,0.999,0.999,0.997
M06_442C020U_BTH,0.982,0.947,0.982,0.991,0.995,0.995
M06_442C0214_BTH,0.992,0.978,0.992,0.997,0.997,0.996
M06_443C0201_BTH,0.983,0.986,0.986,0.996,0.997,0.997
M06_443C0208_BTH,0.986,0.975,0.986,0.987,0.998,0.998
M06_443C020E_BTH,0.994,0.955,0.994,0.989,0.994,0.994
M06_443C020H_BTH,0.994,0.877,0.994,0.994,0.995,0.995
M06_443C020K_BTH,0.997,0.968,0.997,0.996,0.996,0.993
M06_443C020L_BTH,0.995,0.959,0.995,0.994,0.994,0.975
M06_443C020M_BTH,0.983,0.867,0.978,0.983,0.993,0.993
M06_443C020P_BTH,0.979,0.868,0.971,0.981,0.992,0.992
M06_443C020R_BTH,0.974,0.899,0.988,0.990,0.991,0.991
M06_443C020U_BTH,0.994,0.970,0.995,0.996,0.999,0.999
M06_443C020X_BTH,0.996,0.969,0.996,0.998,0.998,0.998
M06_443C020Y_BTH,0.993,0.959,0.993,0.998,0.998,0.998
M06_443C020Z_BTH,0.996,0.974,0.996,0.997,0.998,0.998
M06_443C0211_BTH,0.994,0.977,0.994,0.996,0.998,0.998
M06_443C0212_BTH,0.995,0.975,0.997,0.997,0.999,0.999
M06_443C0213_BTH,0.989,0.956,0.980,0.997,0.997,0.992
M06_444C0203_BTH,0.991,0.975,0.991,0.993,0.998,0.998
M06_444C0204_BTH,0.988,0.877,0.988,0.991,0.991,0.989
M06_444C0205_BTH,0.997,0.977,0.997,0.999,0.999,0.998
M06_444C0206_BTH,0.996,0.953,0.996,0.994,0.994,0.994
M06_444C020M_BTH,0.992,0.949,0.992,0.996,0.996,0.986
M06_444C020O_BTH,0.993,0.968,0.993,0.994,0.995,0.995
M06_444C020T_BTH,0.985,0.767,0.976,0.985,0.988,0.988
M06_444C020U_BTH,0.986,0.933,0.986,0.994,0.996,0.996
M06_444C020V_BTH,0.994,0.860,0.995,0.998,0.998,0.995
M06_444C020W_BTH,0.987,0.974,0.987,0.989,0.996,0.996
M06_445C0205_BTH,0.996,0.985,0.996,0.997,0.997,0.996
M06_445C0206_BTH,0.989,0.973,0.989,0.995,0.997,0.997
M06_445C0207_BTH,0.994,0.920,0.989,0.999,0.999,0.994
M06_445C020E_BTH,0.986,0.957,0.986,0.994,0.996,0.996
M06_445C020F_BTH,0.986,0.979,0.986,0.990,0.993,0.993
M06_445C020H_BTH,0.990,0.969,0.990,0.997,0.997,0.997
M06_445C020K_BTH,0.989,0.965,0.989,0.993,0.994,0.994
M06_445C020L_BTH,0.973,0.910,0.973,0.990,0.960,0.990
M06_445C020S_BTH,0.994,0.990,0.994,0.998,0.999,0.999
M06_445C020T_BTH,0.998,0.969,0.998,0.996,0.996,0.996
M06_445C0210_BTH,0.996,0.862,0.995,0.998,0.998,0.995
M06_446C0202_BTH,0.995,0.961,0.995,0.994,0.994,0.989
M06_446C0203_BTH,0.988,0.986,0.988,0.997,0.185,0.997
M06_446C0207_BTH,0.995,0.969,0.995,0.996,0.999,0.999
M06_446C020P_BTH,0.992,0.989,0.992,0.995,0.997,0.997
M06_446C020Q_BTH,0.996,0.966,0.996,0.997,0.997,0.990
M06_446C020U_BTH,0.997,0.977,0.997,0.998,0.998,0.997
M06_446C020Y_BTH,0.991,0.952,0.991,0.986,0.996,0.996
M06_446C0211_BTH,0.997,0.967,0.997,0.998,0.998,0.996
M06_446C0213_BTH,0.990,0.948,0.990,0.992,0.995,0.995
M06_447C0204_BTH,0.995,0.971,0.995,0.996,0.997,0.997
M06_447C0207_BTH,0.994,0.975,0.994,0.998,0.998,0.997
M06_447C020C_BTH,0.995,0.947,0.995,0.993,0.995,0.995
M06_447C020L_BTH,0.991,0.950,0.991,0.995,0.997,0.997
M06_447C020O_BTH,0.991,0.974,0.991,0.997,0.997,0.995
M06_447C020U_BTH,0.993,0.884,0.988,0.999,0.999,0.990
M06_447C020W_BTH,0.991,0.970,0.991,0.992,0.992,0.990
M06_447C020X_BTH,0.991,0.939,0.991,0.991,0.991,0.987
M06_447C0216_BTH,0.995,0.982,0.995,0.997,0.997,0.994
M06_440C0201_BUS,0.916,0.916,0.879,0.970,0.976,0.976
M06_440C0205_BUS,0.826,0.954,0.968,0.935,0.956,0.968
M06_440C020N_BUS,0.969,0.986,0.986,0.983,0.983,0.978
M06_440C020U_BUS,0.933,0.980,0.980,0.969,0.984,0.984
M06_440C020V_BUS,0.898,0.946,0.965,0.885,0.812,0.965
M06_440C020W_BUS,0.971,0.945,0.971,0.979,0.987,0.987
M06_440C020X_BUS,0.972,0.972,0.968,0.975,0.983,0.983
M06_440C0213_BUS,0.981,0.981,0.971,0.983,0.986,0.986
M06_440C0214_BUS,0.957,0.960,0.960,0.973,0.983,0.983
M06_441C0209_BUS,0.955,0.971,0.971,0.975,0.985,0.985
M06_441C020A_BUS,0.970,0.970,0.969,0.980,0.987,0.987
M06_441C020F_BUS,0.946,0.971,0.971,0.954,0.954,0.916
M06_441C020N_BUS,0.966,0.966,0.961,0.984,0.989,0.989
M06_441C020O_BUS,0.961,0.961,0.968,0.973,0.982,0.982
M06_441C020S_BUS,0.885,0.963,0.963,0.969,0.969,0.934
M06_441C020V_BUS,0.916,0.978,0.978,0.964,0.971,0.971
M06_441C0212_BUS,0.950,0.950,0.941,0.965,0.965,0.938
M06_442C0203_BUS,0.960,0.967,0.967,0.958,0.981,0.981
M06_442C0207_BUS,0.946,0.984,0.984,0.976,0.977,0.977
M06_442C020C_BUS,0.876,0.978,0.978,0.967,0.989,0.989
M06_442C020F_BUS,0.920,0.971,0.971,0.952,0.985,0.985
M06_442C020G_BUS,0.838,0.971,0.971,0.914,0.982,0.982
M06_442C020J_BUS,0.936,0.934,0.946,0.944,0.971,0.971
M06_442C020K_BUS,0.978,0.978,0.978,0.985,0.987,0.987
M06_442C020L_BUS,0.977,0.977,0.975,0.977,0.983,0.983
M06_442C020U_BUS,0.984,0.981,0.984,0.987,0.991,0.991
M06_442C0214_BUS,0.958,0.958,0.949,0.962,0.979,0.979
M06_443C0201_BUS,0.946,0.969,0.969,0.976,0.976,0.956
M06_443C0208_BUS,0.965,0.968,0.968,0.960,0.987,0.987
